s.index,Longitude,Latitude,utmx,utmy,xmaxtemp,xwdsp,xrh
48,-75.4222222222222,41.4666666666667,464742.06,4590649.62,28.1445227976088,5.16276464235627,3.69474779004544
49,-75.4222222222222,40.9333333333333,464454.663,4531442.282,28.6323289862775,5.45077028965449,3.67258281072138
50,-75.4222222222222,40.4,464170.362,4472240.408,29.0613173054445,5.73546639655652,3.66046254481534
51,-76.2777777777778,45.2,399642.585,5005962.372,25.0786850364921,4.65453577685196,3.90981236676686
52,-76.2777777777778,44.6666666666667,398709.242,4946716.436,25.5119146695755,4.89316457484627,3.90922251492225
53,-76.2777777777778,44.1333333333333,397784.73,4887475.78,25.9337963007626,5.1195579497178,3.91365538554039
54,-76.2777777777778,43.6,396869.128,4828240.401,26.2651593308932,5.14073619360763,3.89973312907558
55,-76.2777777777778,43.0666666666667,395962.512,4769010.295,26.5821148782487,5.07934795208829,3.86802525282306
56,-76.2777777777778,42.5333333333333,395064.961,4709785.455,27.0077277384949,5.01030203986326,3.79123636513326
57,-76.2777777777778,42,394176.549,4650565.873,27.5105408314466,5.04448789679716,3.73237794519564
58,-76.2777777777778,41.4666666666667,393297.352,4591351.538,27.9738038089822,5.29071189931242,3.7150108754387
59,-76.2777777777778,40.9333333333333,392427.446,4532142.439,28.4085292428237,5.57614099103174,3.70839049485912
60,-76.2777777777778,40.4,391566.902,4472938.561,28.8273517263628,5.83501059246981,3.70108636178744
61,-77.1333333333333,45.2,332446.883,5007382.14,24.9416449143257,4.76111933544446,3.92564855257958
62,-77.1333333333333,44.6666666666667,330888.139,4948136.111,25.3709325994111,4.96478463106285,3.91725925040983
63,-77.1333333333333,44.1333333333333,329344.131,4888894.869,25.7940949189486,5.14787971795901,3.909883532626
64,-77.1333333333333,43.6,327814.989,4829658.414,26.2027028169614,5.27687756492797,3.9015677331843
65,-77.1333333333333,43.0666666666667,326300.844,4770426.739,26.603769502325,5.30765794696144,3.87379381741174
66,-77.1333333333333,42.5333333333333,324801.824,4711199.84,27.0229177160245,5.20806032406702,3.80135196185776
67,-77.1333333333333,42,323318.057,4651977.708,27.4595754715587,5.1920572453597,3.74272748532379
68,-77.1333333333333,41.4666666666667,321849.668,4592760.335,27.8488538528799,5.46550484484712,3.7396612559288
69,-77.1333333333333,40.9333333333333,320396.782,4533547.709,28.2449683891505,5.74097746612584,3.73873115783785
70,-77.1333333333333,40.4,318959.521,4474339.818,28.6502226140049,5.97932161499059,3.73215054507546
71,-77.9888888888889,45.2,265251.379,5009514.892,24.8053792790446,4.87584166345914,3.93760922571637
72,-77.9888888888889,44.6666666666667,263066.533,4950268.745,25.2463720003185,5.08946888413581,3.92337192175219
73,-77.9888888888889,44.1333333333333,260902.313,4891026.646,25.7027324865562,5.32102921085409,3.90792781083837
74,-77.9888888888889,43.6,258758.904,4831788.595,26.1733742997941,5.55891711325431,3.88862871984385
75,-77.9888888888889,43.0666666666667,256636.49,4772554.587,26.602378555497,5.70626817865674,3.86380833101384
76,-77.9888888888889,42.5333333333333,254535.251,4713324.616,26.9453831051294,5.69662666585641,3.83677603946657
77,-77.9888888888889,42,252455.366,4654098.677,27.2903116471432,5.70156646505876,3.81192946703909
78,-77.9888888888889,41.4666666666667,250397.012,4594876.761,27.6676652443953,5.80332439084806,3.79330630243111
79,-77.9888888888889,40.9333333333333,248360.364,4535658.859,28.068136642719,5.96846251369514,3.77849212783496
80,-77.9888888888889,40.4,246345.596,4476444.961,28.479557124844,6.15325577809247,3.76423292992934
81,-78.8444444444444,45.2,198056.154,5012361.575,24.6586990365362,4.98831537670101,3.95201124280491
82,-78.8444444444444,44.6666666666667,195244.22,4953115.312,25.0984776190337,5.20598327881494,3.93556632704342
83,-78.8444444444444,44.1333333333333,192458.787,4893872.112,25.556636410738,5.45927368116652,3.91788239721599
84,-78.8444444444444,43.6,189700.092,4834631.972,26.0413147132632,5.76619384971168,3.89774536274554
85,-78.8444444444444,43.0666666666667,186968.373,4775394.89,26.509332937389,6.07580499152083,3.87766359177585
86,-78.8444444444444,42.5333333333333,184263.862,4716160.861,26.7149607054457,5.95518632758424,3.87753508561794
87,-78.8444444444444,42,181586.792,4656929.88,27.0111485382884,5.90977454844715,3.86532401208908
88,-78.8444444444444,41.4666666666667,178937.391,4597701.942,27.4255380849405,5.99829013898251,3.84074619910822
89,-78.8444444444444,40.9333333333333,176315.886,4538477.038,27.8668176895228,6.14463153767989,3.8162225459173
90,-78.8444444444444,40.4,173722.5,4479255.162,28.3036719759358,6.31083646252096,3.79470620989119
91,-79.7,45.2,130861.287,5015923.455,24.4989607058768,5.08393137451793,3.96941801788908
92,-79.7,44.6666666666667,127421,4956677.114,24.9193552759906,5.27680323877182,3.95368589116794
93,-79.7,44.1333333333333,124013.064,4897432.601,25.3345524579605,5.47640482700367,3.93917186421225
94,-79.7,43.6,120637.772,4838189.914,25.7250635258019,5.66426990870702,3.92802650574467
95,-79.7,43.0666666666667,117295.415,4778949.052,26.0448879623491,5.78783248002574,3.92528644977003
96,-79.7,42.5333333333333,113986.28,4719710.012,26.2434515435976,5.79394972327964,3.93729379692367
97,-79.7,42,110710.652,4660472.789,26.6310832958323,5.88839798786802,3.91930563849638
98,-79.7,41.4666666666667,107468.813,4601237.38,27.1867320278341,6.08978024006516,3.87681507263963
99,-79.7,40.9333333333333,104261.04,4542003.78,27.6811734370327,6.27177872591742,3.84499906870463
100,-79.7,40.4,101087.61,4482771.985,28.1401928679114,6.44598064829073,3.81970232459871
